Team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
Boston,98.9,19.5,10.8,25.1,0.0,51.9,57.8,60.9,120.2,109.0
Indiana,103.5,21.2,11.3,23.9,0.0,49.1,57.9,60.6,117.9,115.6
Oklahoma City,101.6,19.6,11.4,21.3,0.0,48.8,57.3,60.8,117.0,109.5
LA Clippers,99.0,18.9,12.0,24.7,0.0,50.9,56.1,60.0,116.1,112.4
Milwaukee,101.6,19.2,11.5,22.1,0.0,50.4,56.8,60.1,116.0,112.8
Denver,98.5,21.1,11.5,25.7,0.0,51.5,56.2,58.9,115.6,110.6
Dallas,101.8,18.6,11.2,22.5,0.0,49.2,56.2,59.2,115.2,112.4
New Orleans,99.5,19.6,11.8,24.6,0.0,51.2,55.8,59.1,115.0,109.9
Phoenix,100.2,19.6,13.4,25.2,0.0,51.9,56.5,60.3,114.9,111.5
Golden State,101.1,20.3,12.5,27.8,0.0,52.5,55.7,58.6,114.7,112.4
New York,97.2,17.9,11.9,29.7,0.0,53.0,54.0,57.4,114.1,111.1
Atlanta,102.0,18.6,11.6,27.3,0.0,50.6,53.9,57.6,114.0,116.3
Sacramento,100.5,20.0,11.6,24.7,0.0,51.2,55.6,58.2,113.8,113.3
Philadelphia,99.5,18.2,10.7,25.1,0.0,49.4,53.2,57.4,113.8,111.3
LA Lakers,102.5,20.3,12.5,20.1,0.0,49.7,56.6,60.1,113.6,112.8
Minnesota,98.9,19.6,13.0,23.3,0.0,51.5,55.9,59.4,113.1,105.9
Cleveland,98.9,20.4,12.4,23.4,0.0,50.7,55.7,58.6,112.8,109.7
Chicago,98.0,18.4,11.0,25.4,0.0,50.6,53.4,56.8,112.4,113.2
Utah,101.6,19.1,13.6,28.3,0.0,52.1,53.9,57.9,112.0,117.7
Miami,97.8,19.3,11.7,22.0,0.0,50.0,53.8,57.8,111.7,109.6
Houston,100.9,17.9,11.2,25.4,0.0,50.7,52.9,56.5,111.5,110.8
Orlando,98.8,18.3,13.3,25.5,0.0,51.8,54.1,57.7,110.6,108.8
Brooklyn,98.8,18.7,11.8,25.5,0.0,50.3,53.1,56.1,110.4,113.2
Toronto,101.2,20.1,12.4,24.5,0.0,48.9,53.5,56.6,109.8,115.8
Washington,104.3,19.6,12.2,20.2,0.0,45.9,53.8,56.7,108.3,116.7
San Antonio,102.8,20.7,13.2,23.1,0.0,49.7,53.2,56.3,107.5,114.0
Detroit,101.6,18.4,13.5,24.2,0.0,50.5,52.6,56.2,107.2,115.9
Charlotte,98.8,18.5,12.6,21.3,0.0,47.3,52.9,56.0,107.1,117.1
Portland,99.4,16.9,13.4,27.8,0.0,49.7,50.3,53.9,105.0,114.4
Memphis,100.1,18.0,13.4,24.1,0.0,48.7,50.9,54.3,104.2,111.6
