Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Mikal Bridges,BKN,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,4.5,3.6,1.0,0.4,2.0,3,0
Devin Vassell,SA,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3.0,80.1,3.8,4.1,1.1,0.3,1.6,0,0
Domantas Sabonis,SAC,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,13.7,8.2,0.9,0.6,3.3,77,26
Bam Adebayo,MIA,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,10.4,3.9,1.1,0.9,2.3,42,2
Coby White,CHI,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,4.5,5.1,0.7,0.2,2.1,5,0
Jalen Williams,OKC,71,31.3,19.1,7.5,14.0,54.0,1.5,3.4,42.7,2.5,3.1,81.4,4.0,4.5,1.1,0.6,1.7,3,0
Collin Sexton,UTAH,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,2.6,4.9,0.8,0.2,2.1,4,0
Nikola Vucevic,CHI,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,10.5,3.3,0.7,0.8,1.6,45,0
D'Angelo Russell,LAL,76,32.7,18.0,6.5,14.2,45.6,3.0,7.2,41.5,2.1,2.5,82.8,3.1,6.3,0.9,0.5,2.1,10,0
Klay Thompson,GS,77,29.7,17.9,6.4,14.7,43.2,3.5,9.0,38.7,1.6,1.8,92.7,3.3,2.3,0.6,0.5,1.5,0,0
Fred VanVleet,HOU,73,36.8,17.4,5.8,13.9,41.6,3.1,8.0,38.7,2.7,3.1,86.0,3.8,8.1,1.4,0.8,1.7,20,0
Jordan Poole,WSH,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,2.7,4.4,1.1,0.3,2.4,4,0
Brandon Miller,CHA,74,32.2,17.3,6.4,14.6,44.0,2.5,6.7,37.3,1.9,2.3,82.7,4.3,2.4,0.9,0.6,1.8,1,0
Tobias Harris,PHI,70,33.8,17.2,6.6,13.6,48.7,1.3,3.7,35.3,2.7,3.0,87.8,6.5,3.1,1.0,0.7,1.3,9,0
Myles Turner,IND,77,27.0,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,6.9,1.3,0.5,1.9,1.4,17,0
Immanuel Quickley,TOR/NY,68,29.2,17.0,5.7,13.1,43.4,2.5,6.4,39.5,3.1,3.6,85.3,3.8,4.9,0.7,0.1,1.5,8,0
Bogdan Bogdanovic,ATL,79,30.4,16.9,6.0,13.9,42.8,3.0,8.1,37.4,1.9,2.1,92.1,3.4,3.1,1.2,0.3,1.4,1,0
Michael Porter,DEN,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,7.0,1.5,0.5,0.7,1.1,14,0
James Harden,LAC,72,34.3,16.6,4.9,11.4,42.8,2.6,6.8,38.1,4.2,4.8,87.8,5.1,8.5,1.1,0.8,2.6,23,3
Chet Holmgren,OKC,82,29.4,16.5,6.2,11.6,53.0,1.6,4.3,37.0,2.7,3.4,79.3,7.9,2.4,0.6,2.3,1.6,23,0
Jarrett Allen,CLE,77,31.7,16.5,6.7,10.6,63.4,0.0,0.1,0.0,3.0,4.1,74.2,10.5,2.7,0.7,1.1,1.6,42,0
Jonathan Kuminga,GS,74,26.4,16.1,6.2,11.6,52.9,0.7,2.2,32.1,3.0,4.0,74.6,4.8,2.2,0.7,0.5,1.6,5,0
Austin Reaves,LAL,82,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,4.3,5.5,0.8,0.3,2.1,9,1
Keldon Johnson,SA,69,29.5,15.7,5.7,12.5,45.4,1.8,5.3,34.6,2.5,3.2,79.2,5.5,2.8,0.7,0.3,1.4,9,0
Donte DiVincenzo,NY,81,29.1,15.5,5.5,12.4,44.3,3.5,8.7,40.1,1.1,1.4,75.4,3.7,2.7,1.3,0.4,1.4,0,0
Kelly Oubre,PHI,68,30.2,15.4,5.7,12.9,44.1,1.5,4.8,31.1,2.6,3.4,75.0,5.0,1.5,1.1,0.7,1.3,4,0
Malik Monk,SAC,72,26.0,15.4,5.5,12.4,44.3,2.1,5.9,35.0,2.4,2.8,82.9,2.9,5.1,0.6,0.5,2.1,2,0
Jaden Ivey,DET,77,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,3.4,3.8,0.7,0.5,2.5,2,0
Keegan Murray,SAC,77,33.6,15.2,5.8,12.7,45.4,2.4,6.6,35.8,1.3,1.6,83.1,5.5,1.7,1.0,0.8,0.8,8,0
Derrick White,BOS,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,4.2,5.2,1.0,1.2,1.5,5,1
John Collins,UTAH,68,28.0,15.1,5.8,11.0,53.2,1.3,3.4,37.1,2.2,2.7,79.5,8.5,1.1,0.6,0.9,1.4,24,0
Deni Avdija,WSH,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,73.9,7.2,3.8,0.8,0.5,2.1,18,0
Bennedict Mathurin,IND,59,26.1,14.5,5.0,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,4.0,2.0,0.6,0.2,1.6,3,0
Tim Hardaway,DAL,79,26.8,14.4,5.0,12.4,40.2,2.7,7.6,35.3,1.8,2.1,85.2,3.2,1.8,0.5,0.1,0.9,0,0
Dennis Schroder,TOR/BKN,80,31.1,14.0,5.0,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,3.0,6.1,0.8,0.2,1.9,8,0
Caris LeVert,CLE,68,28.8,14.0,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3.0,76.6,4.1,5.1,1.1,0.5,1.7,6,0
Scoot Henderson,POR,62,28.5,14.0,5.0,12.9,38.5,1.4,4.3,32.5,2.7,3.3,81.9,3.1,5.4,0.8,0.2,3.4,8,0
Rudy Gobert,MIN,76,34.1,14.0,5.3,8.1,66.1,0.0,0.0,0.0,3.3,5.1,63.8,12.9,1.3,0.7,2.1,1.6,54,0
Norman Powell,LAC,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,2.6,1.1,0.6,0.3,0.9,0,0
Aaron Gordon,DEN,73,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29.0,2.4,3.7,65.8,6.5,3.5,0.8,0.6,1.4,12,0
Jalen Duren,DET,61,29.1,13.8,5.7,9.2,61.9,0.0,0.1,0.0,2.3,3.0,79.0,11.6,2.4,0.5,0.8,2.1,44,0
Bobby Portis,MIL,82,24.5,13.8,5.7,11.2,50.8,1.2,3.0,40.7,1.2,1.5,79.0,7.4,1.3,0.8,0.4,1.1,17,0
Jabari Smith,HOU,76,31.9,13.7,5.0,11.0,45.4,1.8,5.0,36.3,2.0,2.4,81.1,8.1,1.6,0.7,0.8,1.2,16,0
Gary Trent,TOR,71,28.1,13.7,5.1,11.9,42.6,2.5,6.4,39.3,1.0,1.4,77.1,2.6,1.7,1.1,0.1,0.7,1,0
Saddiq Bey,ATL,63,32.7,13.7,4.6,11.1,41.6,1.8,5.7,31.6,2.7,3.2,83.7,6.5,1.5,0.8,0.2,0.9,8,0
Rui Hachimura,LAL,68,26.8,13.6,5.3,9.9,53.7,1.4,3.4,42.2,1.5,2.0,73.9,4.3,1.2,0.6,0.4,0.7,4,0
Grayson Allen,PHX,75,33.5,13.5,4.5,9.1,49.9,2.7,5.9,46.1,1.7,2.0,87.8,3.9,3.0,0.9,0.6,1.3,1,0
Naz Reid,MIN,81,24.2,13.5,5.0,10.5,47.7,2.1,5.0,41.4,1.3,1.8,73.6,5.2,1.3,0.8,0.9,1.4,6,0
Cameron Johnson,BKN,58,27.6,13.4,4.8,10.7,44.6,2.4,6.1,39.1,1.5,1.9,78.9,4.3,2.4,0.8,0.3,1.0,1,0
Corey Kispert,WSH,80,25.8,13.4,4.8,9.9,48.6,2.3,6.0,38.3,1.4,2.0,72.6,2.8,2.0,0.5,0.2,1.2,1,0
Andrew Wiggins,GS,71,27.0,13.2,5.0,11.0,45.3,1.3,3.6,35.8,2.0,2.7,75.1,4.5,1.7,0.6,0.6,1.2,3,0
Keyonte George,UTAH,75,27.0,13.0,4.3,10.9,39.1,2.0,5.9,33.4,2.5,3.0,84.8,2.8,4.4,0.5,0.1,2.5,1,0
Duncan Robinson,MIA,68,28.0,12.9,4.5,9.9,45.0,2.8,7.0,39.5,1.2,1.3,88.9,2.5,2.8,0.7,0.2,1.4,0,0
P.J. Washington,DAL/CHA,73,30.4,12.9,4.8,11.1,43.7,1.8,5.7,32.0,1.4,2.0,68.3,5.6,1.9,1.0,0.8,1.3,4,0
Dillon Brooks,HOU,72,30.9,12.7,4.6,10.7,42.8,1.8,5.1,35.9,1.7,2.0,84.4,3.4,1.7,0.9,0.1,1.2,1,0
Jalen Suggs,ORL,75,27.0,12.6,4.5,9.5,47.1,2.0,5.1,39.7,1.6,2.1,75.6,3.1,2.7,1.4,0.6,1.8,0,0
Brook Lopez,MIL,79,30.5,12.5,4.6,9.6,48.5,1.9,5.1,36.6,1.4,1.7,82.1,5.2,1.6,0.5,2.4,1.0,5,0
Jrue Holiday,BOS,69,32.8,12.5,4.8,10.0,48.0,2.0,4.7,42.9,0.9,1.0,83.3,5.4,4.8,0.9,0.8,1.8,7,0
Josh Giddey,OKC,80,25.2,12.3,5.0,10.6,47.5,1.0,3.0,33.7,1.3,1.6,80.6,6.4,4.8,0.7,0.6,2.1,10,3
Jonas Valanciunas,NO,82,23.5,12.2,4.9,8.8,55.9,0.5,1.5,30.8,2.0,2.5,78.5,8.8,2.1,0.4,0.8,1.4,33,0
Harrison Barnes,SAC,82,29.0,12.2,4.2,8.9,47.4,1.8,4.7,38.7,1.9,2.4,80.1,3.0,1.2,0.7,0.1,0.7,0,0
Max Strus,CLE,70,32.0,12.2,4.3,10.4,41.8,2.4,6.8,35.1,1.1,1.4,79.4,4.8,4.0,0.9,0.4,1.6,5,1
Aaron Nesmith,IND,72,27.7,12.2,4.4,8.8,49.6,1.9,4.6,41.9,1.5,1.9,78.1,3.8,1.5,0.9,0.7,0.9,1,0
Ayo Dosunmu,CHI,76,29.1,12.2,4.7,9.5,50.1,1.6,3.9,40.3,1.1,1.4,81.0,2.8,3.2,0.9,0.5,1.4,1,0
Buddy Hield,IND/PHI,84,25.7,12.1,4.4,10.1,43.6,2.6,6.8,38.6,0.6,0.7,88.1,3.2,2.8,0.8,0.5,1.2,1,0
Tyus Jones,WSH,66,29.3,12.0,4.9,10.1,48.9,1.6,3.9,41.4,0.5,0.6,80.0,2.7,7.3,1.1,0.3,1.0,9,1
Jaime Jaquez,MIA,75,28.2,11.9,4.5,9.3,48.9,0.9,2.7,32.2,1.9,2.3,81.1,3.8,2.6,1.0,0.3,1.5,1,0
Nic Claxton,BKN,71,29.8,11.8,5.2,8.2,62.9,0.0,0.1,20.0,1.5,2.8,55.1,9.9,2.1,0.6,2.1,1.3,30,0
Ivica Zubac,LAC,68,26.4,11.7,5.0,7.6,64.9,0.0,0.0,0.0,1.8,2.4,72.3,9.2,1.4,0.3,1.2,1.2,23,0
Jeremy Sochan,SA,74,29.6,11.6,4.6,10.5,43.8,0.9,3.1,30.8,1.5,1.9,77.1,6.4,3.4,0.8,0.5,1.9,7,0
Cole Anthony,ORL,81,22.4,11.6,4.1,9.4,43.5,1.1,3.4,33.8,2.2,2.7,82.6,3.8,2.9,0.8,0.5,1.6,3,0
Clint Capela,ATL,73,25.8,11.5,4.8,8.5,57.1,0.0,0.0,0.0,1.8,2.8,63.1,10.6,1.2,0.6,1.5,1.0,38,0
Mike Conley,MIN,76,28.9,11.4,3.9,8.5,45.7,2.4,5.3,44.2,1.3,1.5,91.1,2.9,5.9,1.2,0.2,1.3,5,0
Malik Beasley,MIL,79,29.6,11.3,4.1,9.1,44.3,2.8,6.9,41.3,0.3,0.4,71.4,3.7,1.4,0.7,0.1,0.7,1,0
Zach Collins,SA,69,22.1,11.2,4.3,8.9,48.4,0.8,2.6,32.0,1.8,2.3,75.3,5.4,2.8,0.5,0.8,1.9,3,0
Russell Westbrook,LAC,68,22.5,11.1,4.4,9.8,45.4,0.6,2.3,27.3,1.6,2.4,68.8,5.0,4.5,1.1,0.3,2.1,8,1
Eric Gordon,PHX,68,27.8,11.0,4.0,9.1,44.3,2.2,5.8,37.8,0.8,0.9,79.7,1.8,2.0,1.0,0.4,1.1,0,0
Herbert Jones,NO,76,30.5,11.0,3.9,7.7,49.8,1.5,3.6,41.8,1.8,2.1,86.7,3.6,2.6,1.4,0.8,1.2,0,0
Daniel Gafford,WSH/DAL,74,24.5,11.0,4.7,6.5,72.5,0.0,0.0,0.0,1.6,2.4,67.4,7.6,1.6,0.9,2.1,1.0,15,0
Jusuf Nurkic,PHX,76,27.3,10.9,4.2,8.3,51.0,0.3,1.2,24.4,2.2,3.4,64.0,11.0,4.0,1.1,1.1,2.3,28,0
Luguentz Dort,OKC,79,28.4,10.9,3.6,8.3,43.8,2.0,5.0,39.4,1.6,2.0,82.6,3.6,1.4,0.9,0.6,0.9,0,0
Moritz Wagner,ORL,80,17.7,10.9,4.2,6.9,60.1,0.5,1.4,33.0,2.1,2.6,81.4,4.3,1.2,0.5,0.3,1.2,3,0
Bruce Brown,IND/TOR,67,27.8,10.8,4.1,8.7,47.8,0.8,2.4,32.3,1.7,2.1,82.4,4.2,2.9,0.9,0.3,1.3,2,0
Santi Aldama,MEM,61,26.5,10.7,4.0,9.3,43.5,1.7,5.0,34.9,0.9,1.4,62.1,5.8,2.3,0.7,0.9,1.1,5,0
Jaden McDaniels,MIN,72,29.2,10.5,4.3,8.7,48.9,1.2,3.5,33.7,0.8,1.1,72.2,3.1,1.4,0.9,0.6,1.2,0,0
Simone Fontecchio,UTAH/DET,66,24.9,10.5,3.8,8.3,46.0,2.0,5.1,40.1,0.8,1.0,81.8,3.7,1.5,0.7,0.3,1.0,0,0
Spencer Dinwiddie,LAL/BKN,76,28.3,10.5,3.3,8.4,39.2,1.6,4.8,33.7,2.2,2.8,80.5,2.7,4.7,0.7,0.3,1.2,4,0
Alec Burks,NY/DET,66,18.4,10.4,3.2,8.6,36.9,1.9,5.0,37.6,2.2,2.5,86.8,2.3,1.3,0.4,0.2,0.7,0,0
Grant Williams,DAL/CHA,76,28.0,10.3,3.6,8.0,45.6,1.7,4.4,37.5,1.4,1.8,75.7,4.2,2.3,0.6,0.5,1.4,2,0
Obi Toppin,IND,82,21.1,10.3,4.0,7.1,57.3,1.2,3.1,40.3,0.9,1.2,77.0,3.9,1.6,0.6,0.5,0.8,1,0
T.J. McConnell,IND,71,18.2,10.2,4.6,8.4,55.6,0.3,0.6,40.9,0.7,0.9,79.0,2.7,5.5,1.0,0.1,1.5,4,0
Kevin Huerter,SAC,64,24.4,10.2,3.9,8.8,44.3,1.9,5.3,36.1,0.6,0.7,76.6,3.5,2.6,0.7,0.4,0.8,2,0
Reggie Jackson,DEN,82,22.2,10.2,4.0,9.2,43.1,1.2,3.5,35.9,1.0,1.2,80.6,1.9,3.8,0.5,0.1,1.3,2,0
Kentavious Caldwell-Pope,DEN,76,31.6,10.1,3.6,7.7,46.0,1.6,4.1,40.6,1.3,1.5,89.4,2.4,2.4,1.3,0.6,1.0,0,0
Alex Caruso,CHI,71,28.7,10.1,3.6,7.6,46.8,1.9,4.7,40.8,1.0,1.4,76.0,3.8,3.5,1.7,1.0,1.4,1,0
Tre Jones,SA,77,27.8,10.0,3.9,7.8,50.5,0.8,2.5,33.5,1.3,1.5,85.6,3.8,6.2,1.0,0.1,1.5,5,1
Caleb Martin,MIA,64,27.5,10.0,3.8,8.7,43.1,1.3,3.6,34.9,1.2,1.5,77.8,4.4,2.2,0.7,0.5,1.2,2,0
Jalen Smith,IND,61,17.2,9.9,3.8,6.5,59.2,1.0,2.4,42.4,1.2,1.7,69.2,5.5,1.0,0.3,0.6,0.7,5,0
Kelly Olynyk,UTAH/TOR,78,22.6,9.8,3.5,6.4,55.5,0.8,2.0,38.7,1.9,2.3,83.3,5.3,4.4,0.9,0.4,1.9,6,0
Lonnie Walker,BKN,58,17.4,9.7,3.6,8.5,42.3,1.8,4.7,38.4,0.8,1.0,76.3,2.2,1.3,0.6,0.3,0.9,0,0
Nick Richards,CHA,67,26.3,9.7,3.9,5.6,69.1,0.0,0.0,0.0,2.0,2.7,73.7,8.0,0.8,0.4,1.1,1.1,19,0
Payton Pritchard,BOS,82,22.3,9.6,3.6,7.7,46.8,1.8,4.7,38.5,0.6,0.7,82.1,3.2,3.4,0.5,0.1,0.7,3,0
Amen Thompson,HOU,62,22.4,9.5,3.9,7.2,53.6,0.1,0.9,13.8,1.7,2.5,68.4,6.6,2.6,1.3,0.6,1.5,13,1
Josh Hart,NY,81,33.4,9.4,3.6,8.4,43.4,1.0,3.2,31.0,1.1,1.4,79.1,8.3,4.1,0.9,0.3,1.5,21,6
Isaac Okoro,CLE,69,27.3,9.4,3.4,7.0,49.0,1.2,3.1,39.1,1.3,2.0,67.9,3.0,1.9,0.8,0.5,0.8,0,0
Georges Niang,CLE,82,22.3,9.4,3.5,7.7,44.9,1.8,4.8,37.6,0.6,0.7,85.0,3.4,1.2,0.4,0.2,0.9,0,0
Brandin Podziemski,GS,74,26.6,9.2,3.7,8.1,45.4,1.2,3.2,38.5,0.7,1.1,63.3,5.8,3.7,0.8,0.2,1.2,7,0
Andrew Nembhard,IND,68,25.0,9.2,3.8,7.7,49.8,0.9,2.5,35.7,0.7,0.8,80.4,2.1,4.1,0.9,0.1,1.5,1,0
Malaki Branham,SA,75,21.3,9.2,3.6,8.4,43.2,1.2,3.6,34.7,0.7,0.8,87.3,2.0,2.1,0.4,0.1,1.2,0,0
Chris Paul,GS,58,26.4,9.2,3.6,8.1,44.1,1.3,3.6,37.1,0.7,0.9,82.7,3.9,6.8,1.2,0.1,1.3,5,0
Duop Reath,POR,68,17.9,9.1,3.4,7.3,46.1,1.3,3.6,35.9,1.0,1.4,74.2,3.7,1.0,0.5,0.6,0.8,1,0
Sam Hauser,BOS,79,22.0,9.0,3.2,7.1,44.6,2.5,5.9,42.4,0.2,0.2,89.5,3.5,1.0,0.5,0.3,0.4,0,0
Taurean Prince,LAL,78,27.0,8.9,3.2,7.3,44.2,1.8,4.6,39.6,0.6,0.9,73.5,2.9,1.5,0.7,0.4,0.9,0,0
Jabari Walker,POR,72,23.6,8.9,3.3,7.1,46.0,0.6,1.9,29.5,1.8,2.4,75.4,7.1,1.0,0.6,0.3,0.9,11,0
Ausar Thompson,DET,63,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,6.4,1.9,1.1,0.9,1.3,2,0
Terance Mann,LAC,75,25.0,8.8,3.4,6.6,51.5,0.9,2.7,34.8,1.1,1.3,83.2,3.4,1.6,0.6,0.2,0.6,2,0
Al Horford,BOS,65,26.8,8.6,3.3,6.4,51.1,1.7,4.0,41.9,0.4,0.5,86.7,6.4,2.6,0.6,1.0,0.7,3,0
Derrick Jones,DAL,76,23.5,8.6,3.1,6.5,48.3,1.1,3.1,34.3,1.3,1.8,71.3,3.3,1.0,0.7,0.7,0.9,2,0
Dorian Finney-Smith,BKN,68,28.5,8.5,3.2,7.5,42.1,1.7,4.9,34.8,0.5,0.7,71.7,4.7,1.6,0.8,0.6,0.9,0,0
Gradey Dick,TOR,60,21.1,8.5,3.2,7.4,42.5,1.5,4.0,36.5,0.7,0.9,86.3,2.2,1.1,0.6,0.0,0.8,0,0
Bilal Coulibaly,WSH,63,27.2,8.4,3.0,6.9,43.5,1.0,2.9,34.6,1.5,2.1,70.2,4.1,1.7,0.9,0.8,1.4,1,0
Andre Drummond,CHI,79,17.1,8.4,3.4,6.1,55.6,0.0,0.0,0.0,1.6,2.8,59.2,9.0,0.5,0.9,0.6,1.0,18,0
Miles McBride,NY,68,19.5,8.3,3.0,6.7,45.2,1.6,3.9,41.0,0.6,0.7,86.0,1.5,1.7,0.7,0.1,0.4,0,0
Marcus Sasser,DET,71,19.0,8.3,3.1,7.2,42.8,1.3,3.4,37.5,0.8,0.9,87.9,1.8,3.3,0.6,0.2,1.3,1,0
Isaiah Joe,OKC,78,18.5,8.2,2.8,6.2,45.8,1.9,4.5,41.6,0.6,0.7,86.5,2.3,1.3,0.6,0.3,0.6,0,0
